id,voter,author,permlink,weight,value,timestamp
NULL,helenoftroy,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,androsform,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,500,0,2019-02-03 11:15:39
NULL,kabir-twtr,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,10000,0,2019-02-03 11:15:39
NULL,evildido-blog,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,3000,0,2019-02-03 11:15:39
NULL,mdsumonislam,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,7500,0,2019-02-03 11:15:39
NULL,oo1o1oo1,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,fashionsteemit,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1100,0,2019-02-03 11:15:39
NULL,gabyx3-ber03,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,100,0,2019-02-03 11:15:39
NULL,ygrj,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,jakeswingle16,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,eleneong,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,hannesl,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,tapashdeb,fitinfun,re-bluemist-surprise-win-for-powerhousecreatives-aka-steemitbloggers-20190203t074739186z,10000,0,2019-02-03 11:15:39
NULL,jorx,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,steem-ua,blockchainstudio,busy-3-new-features-and-2-bug-fixes-powerdown-information-zero-payout-3-digit-precision-etc,1196,0,2019-02-03 11:15:39
NULL,xcountytravelers,devyleona,newrestaurantnearmyoffice-r5dwuailbb,10000,0,2019-02-03 11:15:39
NULL,raja-jbeli,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,kabir-b,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
